fileName	prodCode	priceSuffix	price	name	keywords.0	description	annotation	shipping
aa_1052	1052	yr	129	Complete Collection of Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1052  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum RubricsAccess 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1052  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum RubricsAccess 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1052  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum Rubrics		false
ab_1053	1053	yr	59	Mild Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 65 research-based transition rubrics for students with mild disabilities Item #1053 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 65 research-based transition rubrics for students with mild disabilities Item #1053 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 65 research-based transition rubrics for students with mild disabilities Item #1053 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  		false
ac_1054	1054	yr	59	Moderate Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 61 research-based transition rubrics for students with moderate disabilities Item #1054  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 61 research-based transition rubrics for students with moderate disabilities Item #1054  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 61 research-based transition rubrics for students with moderate disabilities Item #1054  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  		false
ad_1055	1055	yr	59	Severe Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 43 research-based transition rubrics for students with severe disabilities Item #1055  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.Access 43 research-based transition rubrics for students with severe disabilities Item #1055  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.Access 43 research-based transition rubrics for students with severe disabilities Item #1055  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false
ae_1056	1056	yr	59	Autism Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1056  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1056  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1056  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.		false
af_1062	1062	yr	389	Complete Collection of Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1062  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum RubricsAccess 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1062  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum RubricsAccess 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) Item #1062  <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum Rubrics		false
ag_1063	1063	yr	129	Mild Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 65 research-based transition rubrics for students with mild disabilities Item #1063 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 65 research-based transition rubrics for students with mild disabilities Item #1063 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 65 research-based transition rubrics for students with mild disabilities Item #1063 <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  		false
ah_1064	1064	yr	129	Moderate Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 61 research-based transition rubrics for students with moderate disabilities Item #1064  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 61 research-based transition rubrics for students with moderate disabilities Item #1064  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  Access 61 research-based transition rubrics for students with moderate disabilities Item #1064  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.  		false
ai_1065	1065	yr	129	Autism Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1065  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1065  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.Access 63 research-based transition rubrics for students on the Autism Spectrum Item #1065  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.		false
ak_1066	1066	yr	129	Severe Transition Rubrics in the RubricMaker (Building  License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 43 research-based transition rubrics for students with severe disabilities Item #1066  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.Access 43 research-based transition rubrics for students with severe disabilities Item #1066  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.Access 43 research-based transition rubrics for students with severe disabilities Item #1066  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false
