fileName	prodCode	priceSuffix	price	name	keywords.0	description	annotation	requiresShipping	confirmationMessageTemplateName
aa_1052	1052	per yr	129	Complete Collection of Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism). <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum.		false	surveyInstructions.html
ab_1053	1053	per yr	59	Mild Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 65 research-based transition rubrics for students with mild disabilities. <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false	surveyInstructions.html
ac_1054	1054	per yr	59	Moderate Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 61 research-based transition rubrics for students with moderate disabilities. <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success. 		false	surveyInstructions.html
ad_1055	1055	per yr	59	Severe Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 43 research-based transition rubrics for students with severe disabilities. <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false	surveyInstructions.html
ae_1056	1056	per yr	59	Autism Transition Rubrics in the RubricMaker (Individual License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 63 research-based transition rubrics for students on the Autism Spectrum. <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.		false	surveyInstructions.html
af_1062	1062	per yr	389	Complete Collection of Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 232 research-based transition rubrics for four disability areas (mild, moderate, severe, and autism) <p> This is a comprehensive collection of the four individual Rubrics, including * 65 Mild disability Rubrics, *61 Moderate Disability Rubrics, *43 Severe Disability Rubrics, * and 63 Autism Spectrum Rubrics.		false	surveyInstructions.html
ag_1063	1063	per yr	129	Mild Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 65 research-based transition rubrics for students with mild disabilities. <p> These reasearch-based rubrics are designed to help higher functioning students with mild disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false	surveyInstructions.html
ah_1064	1064	per yr	129	Moderate Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 61 research-based transition rubrics for students with moderate disabilities.  <p> These reasearch-based rubrics are designed to help students with moderate disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false	surveyInstructions.html
ai_1065	1065	per yr	129	Autism Transition Rubrics in the RubricMaker (Building License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 63 research-based transition rubrics for students on the Autism Spectrum.  <p> These research-based rubrics were designed to help students on the autism spectrum develop important transition skills in the areas of Communication, Social Interaction, Restrictive and Repetitive Behavior, and Miscellaneous Skills.		false	surveyInstructions.html
ak_1066	1066	per yr	129	Severe Transition Rubrics in the RubricMaker (Building  License)	TRANSITION RUBRICS IN THE RUBRICMAKER	Access 43 research-based transition rubrics for students with severe disabilities.  <p> These reasearch-based rubrics are designed to help students with severe disabilities develop important transition skills in the areas of Workplace Skills and Attitudes, Responsibility, Interacting with Others, Computer and Internet Skills, Basic Academic Skills, Habits of Wellness, and Planning for Success.		false	surveyInstructions.html
